task_id	row_number	permno	company	ticker	cc_date	date_from	date_to
T0008	8	22592	3M Co	MMM	2017-01-24	2017-01-24	2017-02-07
T0025	25	77520	AGCO Corp	AGCO	2015-02-03	2015-02-03	2015-02-17
T0030	30	80303	AK Steel Holding Corp	AKST	2016-07-26	2016-07-26	2016-08-09
T0031	31	80303	AK Steel Holding Corp	AKST	2015-10-27	2015-10-27	2015-11-10
T0033	33	80303	AK Steel Holding Corp	AKST	2018-01-30	2018-01-30	2018-02-13
T0051	51	89789	AXIS Capital Holdings Ltd	AXS	2016-04-27	2016-04-27	2016-05-11
T0069	69	20482	Abbott Laboratories	ABT	2015-01-29	2015-01-29	2015-02-12
T0075	75	83976	Abercrombie & Fitch Co	ANF	2015-11-20	2015-11-20	2015-12-04
T0097	97	79678	Activision Blizzard Inc	AVSN	2017-05-04	2017-05-04	2017-05-18
T0109	109	75510	Adobe Systems Inc	ADBE	2018-12-13	2018-12-13	2018-12-27
T0110	110	75510	Adobe Systems Inc	ADBE	2018-06-14	2018-06-14	2018-06-28
T0111	111	75510	Adobe Systems Inc	ADBE	2018-03-15	2018-03-15	2018-03-29
T0112	112	75510	Adobe Systems Inc	ADBE	2017-03-16	2017-03-16	2017-03-30
T0113	113	75510	Adobe Systems Inc	ADBE	2015-03-17	2015-03-17	2015-03-31
T0114	114	75510	Adobe Systems Inc	ADBE	2016-03-17	2016-03-17	2016-03-31
T0115	115	75510	Adobe Systems Inc	ADBE	2017-09-19	2017-09-19	2017-10-03
T0116	116	75510	Adobe Systems Inc	ADBE	2016-09-20	2016-09-20	2016-10-04
T0131	131	91602	AerCap Holdings NV	AERH	2017-11-02	2017-11-02	2017-11-16
T0140	140	14498	Aerohive Networks Inc	HIVE	2015-08-05	2015-08-05	2015-08-19
T0141	141	14498	Aerohive Networks Inc	HIVE	2015-02-11	2015-02-11	2015-02-25
T0176	176	12641	Air Lease Corp	ALAL	2017-02-23	2017-02-23	2017-03-09
T0180	180	70308	Airgas Inc	AGA	2015-07-28	2015-07-28	2015-08-11
T0194	194	80191	Albemarle Corp	ALB1	2016-08-04	2016-08-04	2016-08-18
