task_id	row_number	permno	company	ticker	cc_date	date_from	date_to
T0069	69	20482	Abbott Laboratories	ABT	2015-01-29	2015-01-29	2015-02-12
T0321	321	81540	AmerisourceBergen Corp	ASHC	2016-08-02	2016-08-02	2016-08-16
T0322	322	81540	AmerisourceBergen Corp	ASHC	2016-11-02	2016-11-02	2016-11-16
T0323	323	81540	AmerisourceBergen Corp	ASHC	2016-02-04	2016-02-04	2016-02-18
T0324	324	81540	AmerisourceBergen Corp	ASHC	2017-05-04	2017-05-04	2017-05-18
T0325	325	81540	AmerisourceBergen Corp	ASHC	2016-05-05	2016-05-05	2016-05-19
T0326	326	81540	AmerisourceBergen Corp	ASHC	2018-02-06	2018-02-06	2018-02-20
T0327	327	81540	AmerisourceBergen Corp	ASHC	2018-11-06	2018-11-06	2018-11-20
T0328	328	81540	AmerisourceBergen Corp	ASHC	2015-01-28	2015-01-28	2015-02-11
T0378	378	89179	Anthem Inc	ATHI	2018-04-25	2018-04-25	2018-05-09
T0379	379	89179	Anthem Inc	ATHI	2018-07-25	2018-07-25	2018-08-08
T0380	380	89179	Anthem Inc	ATHI	2016-01-27	2016-01-27	2016-02-10
T0381	381	89179	Anthem Inc	ATHI	2016-07-27	2016-07-27	2016-08-10
T0382	382	89179	Anthem Inc	ATHI	2015-04-29	2015-04-29	2015-05-13
T0383	383	89179	Anthem Inc	ATHI	2015-07-29	2015-07-29	2015-08-12
T0431	431	14329	Aramark	ARMK	2015-08-12	2015-08-12	2015-08-26
T0470	470	15909	Atlassian Corp PLC	00YT	2016-08-04	2016-08-04	2016-08-18
T0471	471	15909	Atlassian Corp PLC	00YT	2018-01-18	2018-01-18	2018-02-01
T0472	472	15909	Atlassian Corp PLC	00YT	2018-04-19	2018-04-19	2018-05-03
T0473	473	15909	Atlassian Corp PLC	00YT	2017-01-19	2017-01-19	2017-02-02
T0474	474	15909	Atlassian Corp PLC	00YT	2017-10-19	2017-10-19	2017-11-02
T0475	475	15909	Atlassian Corp PLC	00YT	2018-07-26	2018-07-26	2018-08-09
T0476	476	15909	Atlassian Corp PLC	00YT	2017-04-27	2017-04-27	2017-05-11
T0477	477	15909	Atlassian Corp PLC	00YT	2017-07-27	2017-07-27	2017-08-10
T0479	479	15721	Atwood Oceanics Inc	ATWD	2015-02-04	2015-02-04	2015-02-18
T0512	512	75034	Baker Hughes A GE Company LLC	BHI1	2015-01-20	2015-01-20	2015-02-03
T0577	577	67467	Big Lots Inc	CNS	2017-12-01	2017-12-01	2017-12-15
T0578	578	67467	Big Lots Inc	CNS	2018-06-01	2018-06-01	2018-06-15
T0579	579	67467	Big Lots Inc	CNS	2018-12-07	2018-12-07	2018-12-21
T0580	580	67467	Big Lots Inc	CNS	2018-03-09	2018-03-09	2018-03-23
T0581	581	67467	Big Lots Inc	CNS	2018-08-31	2018-08-31	2018-09-14
T0613	613	16755	Blue Apron Holdings Inc	01NX	2018-02-13	2018-02-13	2018-02-27
T0629	629	77605	Boston Scientific Corp	BSX	2015-02-04	2015-02-04	2015-02-18
T0678	678	86881	Brocade Communications Systems Inc	BRCD	2015-11-23	2015-11-23	2015-12-07
T0679	679	86881	Brocade Communications Systems Inc	BRCD	2016-08-25	2016-08-25	2016-09-08
T0712	712	14182	Burlington Stores Inc	BURL	2016-03-03	2016-03-03	2016-03-17
